Employee_ID,Age,Years_Experience,WFH_Days_Per_Week,Department,Job_Level,Home_Office_Quality,Internet_Speed_Category,Manager_Support_Level,Team_Collaboration_Frequency,Work_Hours_Per_Week,Meetings_Per_Week,Commute_Time_Minutes,Stress_Level,Work_Life_Balance,Job_Satisfaction,Productivity_Score
EMP0218,32,4,1,Operations,Junior,Good,Moderate (25-50 Mbps),Very High,Daily,44,5,31,8,5,100,72.7
EMP0219,30,2,2,Engineering,Mid-Level,Average,Very Fast (100+ Mbps),Very High,Few times per week,47,3,33,2,2,100,98
EMP0220,35,2,5,Engineering,Junior,Average,Fast (50-100 Mbps),High,Weekly,43,10,0,4,8,100,98
EMP0221,55,31,2,Marketing,Manager,Good,Very Fast (100+ Mbps),Low,Few times per week,41,6,15,7,5,83.7,91.3
EMP0222,22,1,2,Engineering,Mid-Level,Good,Very Fast (100+ Mbps),Very High,Few times per week,45,10,29,10,9,100,80.9
EMP0223,41,9,4,Finance,Senior,Average,Very Fast (100+ Mbps),High,Few times per week,33,8,13,7,3,100,85.6
EMP0224,22,1,2,Data Science,Junior,Excellent,Fast (50-100 Mbps),High,Monthly,44,8,41,2,6,100,79.6
EMP0225,30,0,2,Operations,Junior,Good,Slow (<25 Mbps),Moderate,Weekly,44,9,20,4,8,100,78.2
EMP0226,44,4,1,Engineering,Mid-Level,Average,Very Fast (100+ Mbps),High,Few times per week,43,13,20,5,5,100,83.7
EMP0227,35,1,2,Customer Success,Mid-Level,Average,Very Fast (100+ Mbps),Moderate,Weekly,38,7,50,4,10,88.1,68.9
EMP0228,25,2,1,Customer Success,Junior,Excellent,Very Fast (100+ Mbps),High,Few times per week,37,6,30,4,7,100,89.9
EMP0229,28,0,0,HR,Junior,Good,Moderate (25-50 Mbps),Moderate,Monthly,34,5,23,5,5,100,76.4
EMP0230,41,7,4,Operations,Lead,Good,Very Fast (100+ Mbps),Very High,Few times per week,50,8,47,5,8,100,98
EMP0231,28,0,1,Product,Junior,Good,Fast (50-100 Mbps),High,Daily,41,8,41,5,10,100,50.2
EMP0232,36,0,4,Engineering,Junior,Good,Moderate (25-50 Mbps),Low,Daily,39,9,0,6,5,83.4,66.4
EMP0233,35,7,4,Design,Lead,Poor,Very Fast (100+ Mbps),Moderate,Few times per week,38,11,6,9,8,81.6,81
EMP0234,29,0,3,Design,Junior,Good,Fast (50-100 Mbps),Very Low,Few times per week,36,8,23,10,10,100,98
EMP0235,54,8,2,Product,Mid-Level,Good,Very Fast (100+ Mbps),Moderate,Weekly,38,2,52,1,5,100,88.2
EMP0236,40,5,1,Engineering,Junior,Good,Moderate (25-50 Mbps),High,Bi-weekly,49,8,0,6,5,100,90.3
EMP0237,22,1,4,Customer Success,Mid-Level,Excellent,Very Fast (100+ Mbps),Moderate,Bi-weekly,45,6,6,7,7,83.2,88.5
EMP0238,36,4,4,Marketing,Mid-Level,Good,Slow (<25 Mbps),Moderate,Daily,46,14,45,3,10,88.2,84.3
EMP0239,29,1,4,Operations,Junior,Excellent,Moderate (25-50 Mbps),High,Few times per week,47,8,12,9,7,100,57.7
EMP0240,42,7,0,Customer Success,Senior,Average,Fast (50-100 Mbps),Very High,Weekly,55,12,18,9,6,100,87.3
EMP0241,27,0,5,Engineering,Junior,Good,Fast (50-100 Mbps),High,Daily,42,6,0,4,3,100,98
EMP0242,33,4,0,Sales,Mid-Level,Good,Fast (50-100 Mbps),Very High,Few times per week,39,4,5,7,9,100,92.1
EMP0243,39,7,2,Customer Success,Lead,Good,Very Fast (100+ Mbps),High,Daily,44,10,45,6,3,100,68.8
EMP0244,42,0,3,Customer Success,Junior,Excellent,Very Fast (100+ Mbps),Low,Daily,45,9,0,2,5,49.1,53.1
EMP0245,24,0,0,Customer Success,Junior,Excellent,Very Fast (100+ Mbps),Moderate,Daily,41,7,32,5,6,93.8,60.9
EMP0246,31,4,3,Engineering,Senior,Average,Fast (50-100 Mbps),Moderate,Weekly,36,8,31,4,6,100,80.5
EMP0247,30,4,4,Finance,Mid-Level,Poor,Moderate (25-50 Mbps),High,Few times per week,43,9,26,8,3,100,87.8
EMP0248,29,1,4,Engineering,Mid-Level,Excellent,Moderate (25-50 Mbps),High,Weekly,45,5,28,8,3,100,98
EMP0249,50,9,5,HR,Senior,Average,Fast (50-100 Mbps),Moderate,Weekly,44,10,0,2,4,92.9,94.8
EMP0250,38,1,3,Engineering,Junior,Good,Fast (50-100 Mbps),Moderate,Daily,30,7,15,7,2,100,83.8
EMP0251,23,0,4,HR,Mid-Level,Good,Moderate (25-50 Mbps),Moderate,Daily,32,14,41,3,10,93.3,66.4
EMP0252,43,8,0,Marketing,Senior,Average,Moderate (25-50 Mbps),Low,Daily,46,5,43,7,5,86.7,77
EMP0253,54,11,3,Data Science,Senior,Good,Fast (50-100 Mbps),High,Few times per week,39,8,3,8,9,100,98
EMP0254,44,5,1,Operations,Mid-Level,Excellent,Very Fast (100+ Mbps),High,Bi-weekly,55,6,24,2,8,100,98
EMP0255,22,1,2,Operations,Mid-Level,Excellent,Fast (50-100 Mbps),High,Weekly,50,15,73,5,7,100,64.8
EMP0256,30,3,2,Sales,Senior,Excellent,Fast (50-100 Mbps),High,Daily,34,12,42,5,7,100,98
EMP0257,46,7,3,HR,Senior,Excellent,Fast (50-100 Mbps),Very High,Daily,48,11,35,9,6,100,98
EMP0258,28,3,3,Marketing,Senior,Good,Slow (<25 Mbps),Low,Weekly,51,9,7,5,7,97.3,84.1
EMP0259,38,10,5,Engineering,Senior,Good,Moderate (25-50 Mbps),Very Low,Few times per week,39,7,0,4,9,100,95.8
EMP0260,41,2,3,Operations,Junior,Average,Very Fast (100+ Mbps),Low,Weekly,41,13,40,6,8,100,86.6
EMP0261,26,3,5,Customer Success,Senior,Good,Very Fast (100+ Mbps),Low,Daily,38,6,0,4,5,80.7,69.4
EMP0262,34,7,4,Engineering,Lead,Excellent,Very Fast (100+ Mbps),Very Low,Few times per week,35,10,0,6,3,93.7,75.6
EMP0263,22,0,3,Engineering,Junior,Excellent,Very Fast (100+ Mbps),Low,Few times per week,51,8,29,6,5,72.7,75.6
EMP0264,25,1,4,Operations,Junior,Average,Very Fast (100+ Mbps),Moderate,Weekly,26,2,20,7,4,87.6,56.8
EMP0265,32,7,1,Customer Success,Mid-Level,Excellent,Moderate (25-50 Mbps),Very High,Daily,37,13,29,6,10,100,98
EMP0266,23,0,4,Engineering,Junior,Average,Very Fast (100+ Mbps),Very High,Daily,39,13,40,4,6,100,70.3
EMP0267,49,2,3,Design,Mid-Level,Good,Fast (50-100 Mbps),Very High,Few times per week,42,2,8,9,4,100,98
EMP0268,22,0,5,Design,Junior,Poor,Very Fast (100+ Mbps),High,Daily,34,10,0,5,7,100,65.2
EMP0269,31,4,4,Engineering,Senior,Good,Fast (50-100 Mbps),Moderate,Weekly,50,8,28,7,6,100,96
EMP0270,36,7,4,Engineering,Lead,Excellent,Moderate (25-50 Mbps),High,Daily,30,6,28,6,5,100,98
EMP0271,47,16,4,Finance,Director,Good,Fast (50-100 Mbps),High,Daily,31,8,28,8,3,100,80.3
EMP0272,22,0,2,Design,Junior,Good,Very Fast (100+ Mbps),Very High,Bi-weekly,42,3,63,5,3,100,95.9
EMP0273,45,5,2,Finance,Mid-Level,Good,Moderate (25-50 Mbps),Very High,Daily,34,13,34,6,7,100,70.9
EMP0274,35,6,3,Marketing,Senior,Good,Very Fast (100+ Mbps),High,Daily,43,6,31,3,8,100,98
EMP0275,26,0,3,Engineering,Junior,Excellent,Fast (50-100 Mbps),Very High,Daily,37,6,40,3,9,100,98
EMP0276,39,4,2,Marketing,Senior,Good,Very Fast (100+ Mbps),Very High,Bi-weekly,46,7,19,8,7,100,98
EMP0277,36,6,5,Operations,Lead,Poor,Fast (50-100 Mbps),High,Weekly,36,4,0,8,7,100,82.7
EMP0278,29,1,3,Sales,Junior,Poor,Very Fast (100+ Mbps),Moderate,Monthly,50,11,22,5,5,96,63.7
EMP0279,35,4,5,Marketing,Senior,Good,Fast (50-100 Mbps),High,Weekly,45,6,0,7,5,100,90
EMP0280,31,6,4,Engineering,Senior,Excellent,Fast (50-100 Mbps),Moderate,Weekly,37,5,5,8,6,100,91.7
EMP0281,36,2,3,Marketing,Junior,Excellent,Very Fast (100+ Mbps),High,Few times per week,45,9,33,3,8,100,98
EMP0282,40,4,5,Engineering,Mid-Level,Average,Moderate (25-50 Mbps),Very High,Weekly,42,9,0,10,6,100,98
EMP0283,49,8,3,Engineering,Senior,Average,Very Fast (100+ Mbps),Moderate,Few times per week,46,10,26,8,5,91.2,98
EMP0284,23,0,5,Customer Success,Junior,Poor,Moderate (25-50 Mbps),High,Weekly,45,13,0,7,9,100,50.6
EMP0285,54,8,2,Engineering,Senior,Good,Very Fast (100+ Mbps),Very High,Weekly,44,8,49,6,6,100,98
EMP0286,22,0,2,Operations,Mid-Level,Average,Fast (50-100 Mbps),Low,Weekly,42,11,33,8,3,100,76.2
EMP0287,33,9,3,Engineering,Senior,Average,Fast (50-100 Mbps),Moderate,Daily,47,8,16,7,7,100,98
EMP0288,40,13,3,Engineering,Lead,Good,Very Fast (100+ Mbps),High,Few times per week,49,8,30,6,7,100,98
EMP0289,37,1,3,Sales,Junior,Average,Very Fast (100+ Mbps),Low,Few times per week,42,14,46,8,10,94.6,73.3
EMP0290,29,1,3,Engineering,Mid-Level,Excellent,Fast (50-100 Mbps),Low,Few times per week,45,3,33,4,8,35.2,49.6
EMP0291,33,6,2,Engineering,Senior,Good,Moderate (25-50 Mbps),High,Monthly,47,7,6,4,3,100,83.2
EMP0292,30,4,5,Product,Senior,Poor,Slow (<25 Mbps),Moderate,Few times per week,51,7,0,9,6,74.5,66.2
EMP0293,29,2,3,Engineering,Junior,Excellent,Very Fast (100+ Mbps),Moderate,Daily,50,6,27,2,6,79,77.2
EMP0294,42,9,3,Engineering,Senior,Average,Very Fast (100+ Mbps),Very High,Few times per week,48,7,56,2,6,100,98
EMP0295,38,3,4,Customer Success,Senior,Good,Fast (50-100 Mbps),Moderate,Weekly,39,6,15,7,4,100,98
EMP0296,28,3,4,Sales,Mid-Level,Average,Fast (50-100 Mbps),Very High,Bi-weekly,34,6,17,5,6,100,82.7
EMP0297,43,19,5,Finance,Manager,Average,Moderate (25-50 Mbps),Moderate,Few times per week,45,11,0,8,6,100,98
EMP0298,37,2,3,Engineering,Junior,Average,Very Fast (100+ Mbps),Moderate,Daily,45,8,0,5,5,94.4,89.5
EMP0299,42,11,1,Engineering,Lead,Average,Very Fast (100+ Mbps),High,Daily,39,6,33,5,7,100,83.9
EMP0300,40,8,3,Operations,Lead,Good,Fast (50-100 Mbps),Low,Daily,33,12,18,9,5,100,98
EMP0301,27,2,3,Data Science,Junior,Excellent,Very Fast (100+ Mbps),Moderate,Daily,51,11,32,6,4,100,85.5
EMP0302,29,2,5,Engineering,Junior,Average,Fast (50-100 Mbps),Low,Weekly,44,5,0,6,10,92.5,98
EMP0303,41,6,3,Sales,Mid-Level,Good,Very Fast (100+ Mbps),High,Daily,34,3,25,8,7,100,98
EMP0304,40,5,5,Engineering,Mid-Level,Average,Fast (50-100 Mbps),Very High,Daily,41,7,0,5,7,100,98
EMP0305,34,0,3,Engineering,Junior,Excellent,Fast (50-100 Mbps),Moderate,Weekly,33,6,27,4,5,93.7,77.2
EMP0306,36,11,5,Product,Senior,Average,Very Fast (100+ Mbps),High,Few times per week,46,5,0,6,5,100,98
EMP0307,46,7,0,Engineering,Senior,Good,Very Fast (100+ Mbps),High,Daily,53,7,46,5,4,100,78.7
EMP0308,29,3,5,Customer Success,Mid-Level,Average,Slow (<25 Mbps),Moderate,Few times per week,40,9,0,4,3,75.4,67.1
EMP0309,39,5,5,Engineering,Mid-Level,Average,Moderate (25-50 Mbps),High,Daily,41,12,0,3,7,100,85.5
EMP0310,33,3,5,Product,Mid-Level,Excellent,Moderate (25-50 Mbps),High,Few times per week,40,7,0,7,5,100,89.8
EMP0311,33,6,0,Marketing,Senior,Good,Slow (<25 Mbps),High,Weekly,40,11,0,2,5,100,79.8
EMP0312,44,7,1,Product,Lead,Average,Very Fast (100+ Mbps),High,Bi-weekly,37,5,57,6,4,100,71.7
EMP0313,42,11,4,Engineering,Lead,Average,Very Fast (100+ Mbps),High,Daily,50,12,31,5,4,100,98
EMP0314,42,15,0,HR,Manager,Good,Very Fast (100+ Mbps),Very High,Daily,43,10,54,4,6,100,74.3
EMP0315,46,19,0,Finance,Lead,Poor,Moderate (25-50 Mbps),High,Weekly,42,15,43,8,8,100,91.5
EMP0316,35,3,2,Marketing,Senior,Good,Fast (50-100 Mbps),Moderate,Daily,40,6,42,7,10,100,98
EMP0317,41,11,3,Customer Success,Lead,Good,Fast (50-100 Mbps),High,Few times per week,34,8,22,7,6,100,98
EMP0318,32,2,3,Operations,Junior,Average,Moderate (25-50 Mbps),Moderate,Daily,47,8,17,5,7,52.6,35
EMP0319,37,6,0,Product,Lead,Excellent,Fast (50-100 Mbps),High,Weekly,50,7,52,6,4,100,98
EMP0320,33,5,1,Sales,Senior,Good,Very Fast (100+ Mbps),Moderate,Bi-weekly,30,12,43,3,7,82.8,67.9
EMP0321,35,5,3,Operations,Mid-Level,Average,Very Fast (100+ Mbps),Very Low,Monthly,46,7,19,3,6,100,81.3
EMP0322,40,6,3,Product,Senior,Good,Very Fast (100+ Mbps),Moderate,Weekly,47,6,44,5,2,100,86.8
EMP0323,27,2,1,Engineering,Junior,Excellent,Very Fast (100+ Mbps),Moderate,Daily,49,8,31,6,6,83.2,73.3
EMP0324,53,17,3,Marketing,Manager,Good,Very Fast (100+ Mbps),Very High,Weekly,49,9,31,3,6,100,95.6
EMP0325,25,2,5,Data Science,Junior,Good,Fast (50-100 Mbps),High,Few times per week,57,12,0,6,6,100,89
EMP0326,24,0,5,Marketing,Mid-Level,Good,Very Fast (100+ Mbps),Low,Bi-weekly,44,8,0,4,7,100,94.5
EMP0327,45,9,5,Engineering,Senior,Average,Fast (50-100 Mbps),Moderate,Bi-weekly,47,9,0,7,2,86.8,98
EMP0328,42,7,5,Sales,Senior,Excellent,Fast (50-100 Mbps),Moderate,Monthly,42,5,0,1,8,75.4,57.5
EMP0329,40,0,3,Product,Junior,Average,Slow (<25 Mbps),Low,Bi-weekly,37,7,7,8,7,75.1,91.5
EMP0330,40,9,4,Design,Lead,Average,Fast (50-100 Mbps),Very High,Few times per week,46,8,18,7,2,100,87.5
EMP0331,34,0,3,Design,Junior,Average,Slow (<25 Mbps),Moderate,Weekly,47,4,8,6,10,100,88.6
EMP0332,26,0,4,Finance,Junior,Good,Very Fast (100+ Mbps),High,Monthly,44,9,8,7,6,100,98
EMP0333,35,10,2,Marketing,Senior,Good,Very Fast (100+ Mbps),Moderate,Few times per week,32,9,31,5,10,87.3,98
EMP0334,28,1,4,Engineering,Junior,Good,Fast (50-100 Mbps),Very High,Weekly,33,7,16,4,4,100,71.8
EMP0335,43,10,3,Engineering,Senior,Average,Very Fast (100+ Mbps),Low,Bi-weekly,46,8,39,1,2,100,78.9
EMP0336,33,9,0,Engineering,Senior,Good,Fast (50-100 Mbps),Moderate,Few times per week,39,6,22,6,7,93.6,80.2
EMP0337,27,1,4,Engineering,Junior,Good,Very Fast (100+ Mbps),High,Daily,44,5,32,5,9,100,91.6
EMP0338,32,7,0,Product,Lead,Good,Fast (50-100 Mbps),Moderate,Daily,44,15,20,4,3,100,70.6
EMP0339,38,1,2,Customer Success,Junior,Average,Moderate (25-50 Mbps),Moderate,Daily,41,3,34,8,8,56.7,51.4
EMP0340,29,1,0,Operations,Junior,Excellent,Very Fast (100+ Mbps),High,Few times per week,40,8,13,7,3,100,94.7
EMP0341,27,2,2,Data Science,Junior,Poor,Slow (<25 Mbps),Very High,Few times per week,41,12,48,10,8,100,71.8
EMP0342,37,12,0,Design,Senior,Excellent,Very Fast (100+ Mbps),High,Few times per week,45,11,64,7,7,100,98
EMP0343,37,7,5,Finance,Lead,Good,Very Fast (100+ Mbps),Very High,Few times per week,44,6,0,8,8,100,98
EMP0344,30,2,3,Marketing,Junior,Good,Fast (50-100 Mbps),Moderate,Monthly,37,7,7,3,6,100,98
EMP0345,30,3,3,Engineering,Mid-Level,Excellent,Moderate (25-50 Mbps),High,Daily,41,6,33,7,9,100,98
EMP0346,37,10,2,Marketing,Lead,Average,Fast (50-100 Mbps),High,Bi-weekly,35,16,66,3,5,100,98
EMP0347,22,0,4,Engineering,Junior,Good,Fast (50-100 Mbps),Moderate,Daily,45,5,12,3,5,79.9,96.4
EMP0348,22,0,4,Sales,Mid-Level,Excellent,Very Fast (100+ Mbps),Very Low,Few times per week,39,3,46,8,10,85.6,68.2
EMP0349,28,0,4,Design,Junior,Average,Very Fast (100+ Mbps),Moderate,Few times per week,46,6,25,5,4,100,98
EMP0350,33,5,4,Sales,Senior,Average,Very Fast (100+ Mbps),Moderate,Weekly,40,2,23,5,7,100,62.2
EMP0351,37,9,5,Engineering,Mid-Level,Poor,Very Fast (100+ Mbps),High,Few times per week,48,10,0,4,7,100,98
EMP0352,48,19,5,Operations,Manager,Good,Slow (<25 Mbps),Very High,Daily,49,6,0,6,5,100,98
EMP0353,42,8,4,Operations,Mid-Level,Good,Moderate (25-50 Mbps),Very High,Few times per week,44,7,20,4,5,100,98
EMP0354,33,3,2,Engineering,Mid-Level,Excellent,Very Fast (100+ Mbps),Moderate,Daily,39,6,29,6,5,100,98
EMP0355,34,4,4,Engineering,Senior,Average,Fast (50-100 Mbps),High,Few times per week,36,8,6,7,8,100,88.6
EMP0356,25,1,3,Data Science,Junior,Good,Fast (50-100 Mbps),High,Few times per week,47,9,16,7,6,100,85.6
EMP0357,34,2,4,Engineering,Junior,Poor,Very Fast (100+ Mbps),Low,Few times per week,41,8,57,5,6,79.6,60.7
EMP0358,32,7,4,Customer Success,Senior,Average,Very Fast (100+ Mbps),High,Weekly,42,5,3,7,7,100,94.7
EMP0359,37,6,4,Marketing,Lead,Poor,Fast (50-100 Mbps),Low,Bi-weekly,39,7,27,4,6,100,85.5
EMP0360,27,1,4,Marketing,Junior,Poor,Fast (50-100 Mbps),Low,Few times per week,33,6,23,8,6,70.5,35
EMP0361,39,9,0,Sales,Senior,Good,Very Fast (100+ Mbps),Very High,Daily,48,6,31,1,7,100,98
EMP0362,48,10,0,HR,Senior,Excellent,Moderate (25-50 Mbps),Low,Weekly,41,11,19,9,6,71.8,84
EMP0363,34,3,2,Product,Senior,Excellent,Fast (50-100 Mbps),Very High,Few times per week,30,6,0,5,5,100,89.6
EMP0364,38,1,5,Engineering,Junior,Good,Very Fast (100+ Mbps),Low,Few times per week,41,8,0,5,8,100,75.6
EMP0365,41,6,4,Engineering,Senior,Good,Very Fast (100+ Mbps),High,Few times per week,33,3,29,6,3,100,93.9
EMP0366,31,3,4,Engineering,Junior,Excellent,Fast (50-100 Mbps),Moderate,Weekly,45,6,15,8,10,100,83.7
EMP0367,37,6,4,Customer Success,Senior,Good,Fast (50-100 Mbps),Moderate,Bi-weekly,44,5,26,5,7,100,80.9
EMP0368,35,5,4,Marketing,Senior,Good,Fast (50-100 Mbps),Moderate,Monthly,51,10,13,3,5,87,65.3
EMP0369,35,1,5,Engineering,Junior,Excellent,Very Fast (100+ Mbps),Moderate,Bi-weekly,33,8,0,5,4,100,98
EMP0370,28,2,4,Sales,Junior,Good,Very Fast (100+ Mbps),Low,Weekly,50,10,32,1,5,79.6,71.4
EMP0371,35,9,4,Marketing,Senior,Excellent,Very Fast (100+ Mbps),Low,Bi-weekly,45,17,24,4,9,90.7,79.5
EMP0372,39,2,4,Customer Success,Junior,Good,Very Fast (100+ Mbps),Moderate,Daily,33,4,27,2,8,79.2,50.8
EMP0373,48,9,2,Operations,Lead,Excellent,Fast (50-100 Mbps),Moderate,Weekly,52,3,45,5,4,96.4,98
EMP0374,43,6,4,Engineering,Senior,Average,Very Fast (100+ Mbps),High,Daily,41,11,25,2,7,100,98
EMP0375,54,3,3,Engineering,Senior,Excellent,Very Fast (100+ Mbps),Moderate,Weekly,34,11,13,10,9,100,81.7
EMP0376,28,1,1,Sales,Junior,Average,Very Fast (100+ Mbps),Moderate,Daily,48,8,52,7,8,83.9,68.6
EMP0377,42,3,4,Engineering,Senior,Good,Fast (50-100 Mbps),Moderate,Few times per week,35,13,52,5,7,99.9,75.1
EMP0378,36,1,3,HR,Mid-Level,Good,Fast (50-100 Mbps),Moderate,Daily,48,13,30,7,5,100,80.5
EMP0379,54,27,5,Sales,Lead,Good,Moderate (25-50 Mbps),High,Few times per week,40,11,0,5,9,100,52.9
EMP0380,27,2,2,Sales,Mid-Level,Good,Moderate (25-50 Mbps),High,Few times per week,39,10,0,6,9,100,80.5
EMP0381,27,2,3,Marketing,Mid-Level,Excellent,Fast (50-100 Mbps),Very High,Daily,34,7,12,8,5,100,98
EMP0382,29,4,3,Finance,Mid-Level,Average,Very Fast (100+ Mbps),Moderate,Weekly,35,6,21,7,6,100,98
EMP0383,22,1,1,Operations,Mid-Level,Average,Fast (50-100 Mbps),High,Bi-weekly,42,8,27,3,3,100,86.7
EMP0384,30,0,3,Customer Success,Junior,Poor,Very Fast (100+ Mbps),Moderate,Weekly,32,12,1,2,7,79.4,57.5
EMP0385,28,2,2,Operations,Junior,Average,Fast (50-100 Mbps),Very High,Weekly,46,4,19,6,3,100,84.7
EMP0386,36,6,1,HR,Senior,Good,Fast (50-100 Mbps),High,Weekly,38,15,34,4,9,100,98
EMP0387,38,11,2,Finance,Lead,Good,Fast (50-100 Mbps),High,Bi-weekly,39,7,39,10,9,100,98
EMP0388,51,17,2,Engineering,Lead,Average,Very Fast (100+ Mbps),High,Few times per week,45,5,34,1,5,100,60.7
EMP0389,43,6,4,Engineering,Lead,Average,Slow (<25 Mbps),Very High,Few times per week,40,8,11,7,8,100,84.4
EMP0390,29,0,0,Product,Mid-Level,Good,Fast (50-100 Mbps),Moderate,Bi-weekly,49,7,10,2,6,78.9,54.1
EMP0391,26,0,4,Design,Junior,Average,Fast (50-100 Mbps),Very High,Daily,29,10,17,6,8,100,74.7
EMP0392,39,3,4,Finance,Mid-Level,Good,Very Fast (100+ Mbps),Very High,Daily,46,7,17,5,3,100,97.3
EMP0393,23,0,3,Finance,Junior,Good,Very Fast (100+ Mbps),Low,Weekly,42,9,31,6,6,92.9,57.7
EMP0394,51,8,5,Engineering,Senior,Poor,Very Fast (100+ Mbps),High,Daily,38,7,0,7,6,100,98
EMP0395,45,0,4,Marketing,Junior,Poor,Very Fast (100+ Mbps),Moderate,Few times per week,47,12,6,2,5,72.1,90.4
EMP0396,30,1,4,Data Science,Junior,Average,Fast (50-100 Mbps),Low,Daily,45,12,27,6,5,58.2,55.9
EMP0397,22,0,1,Customer Success,Junior,Good,Moderate (25-50 Mbps),Moderate,Weekly,43,11,33,9,7,78.4,63.1
EMP0398,47,7,4,Sales,Mid-Level,Excellent,Very Fast (100+ Mbps),Moderate,Monthly,40,10,18,4,5,100,95.5
EMP0399,33,4,4,Sales,Senior,Excellent,Fast (50-100 Mbps),High,Daily,37,10,30,3,7,100,94.9
EMP0400,46,17,2,Marketing,Manager,Average,Very Fast (100+ Mbps),High,Daily,35,10,25,7,6,100,94.8
EMP0401,22,0,2,Sales,Mid-Level,Good,Very Fast (100+ Mbps),High,Daily,50,5,55,7,5,100,89.1
EMP0402,29,3,3,Sales,Mid-Level,Good,Moderate (25-50 Mbps),Very High,Weekly,46,9,35,5,8,100,98
EMP0403,35,2,4,Operations,Junior,Good,Fast (50-100 Mbps),High,Few times per week,45,7,14,8,6,100,86.4
EMP0404,35,8,3,Engineering,Senior,Good,Fast (50-100 Mbps),Moderate,Few times per week,39,6,48,6,1,100,86.3
EMP0405,30,2,4,HR,Junior,Good,Very Fast (100+ Mbps),High,Daily,54,10,0,6,8,100,95.6
EMP0406,40,1,1,HR,Junior,Average,Very Fast (100+ Mbps),Moderate,Few times per week,37,3,65,8,5,100,86.5
EMP0407,25,0,4,Customer Success,Junior,Excellent,Very Fast (100+ Mbps),Moderate,Daily,39,6,45,3,8,100,84
EMP0408,33,1,2,Customer Success,Junior,Average,Very Fast (100+ Mbps),Very High,Few times per week,52,7,13,4,7,100,87
EMP0409,36,2,2,Operations,Junior,Good,Very Fast (100+ Mbps),Very High,Daily,41,11,28,5,9,100,98
EMP0410,39,5,3,HR,Junior,Average,Fast (50-100 Mbps),High,Few times per week,52,5,8,3,6,100,96.9
EMP0411,41,11,0,Marketing,Lead,Poor,Very Fast (100+ Mbps),Moderate,Few times per week,44,8,25,10,4,61.7,42.9
EMP0412,24,1,0,Design,Junior,Good,Very Fast (100+ Mbps),High,Daily,38,9,62,5,1,100,80.9
EMP0413,22,0,2,Engineering,Junior,Excellent,Fast (50-100 Mbps),Moderate,Daily,40,11,31,9,8,100,97.2
EMP0414,46,5,3,Product,Mid-Level,Excellent,Moderate (25-50 Mbps),Moderate,Weekly,37,7,0,6,8,92.8,98
EMP0415,37,1,5,Engineering,Junior,Excellent,Slow (<25 Mbps),Moderate,Few times per week,46,12,0,9,4,100,90.3
EMP0416,28,1,4,Engineering,Mid-Level,Average,Moderate (25-50 Mbps),Very High,Bi-weekly,49,6,35,5,10,100,91.8
EMP0417,48,5,3,Marketing,Mid-Level,Excellent,Very Fast (100+ Mbps),Moderate,Daily,44,13,28,8,9,91.6,93.4
EMP0418,36,6,0,Operations,Senior,Excellent,Very Fast (100+ Mbps),Very High,Daily,43,5,11,7,6,100,95.2
EMP0419,45,9,3,Engineering,Lead,Average,Moderate (25-50 Mbps),Very High,Daily,35,4,48,9,4,100,98
EMP0420,35,3,4,Operations,Mid-Level,Good,Moderate (25-50 Mbps),High,Daily,48,5,35,6,5,100,86.3
EMP0421,53,17,2,Customer Success,Manager,Good,Fast (50-100 Mbps),Moderate,Daily,47,6,28,4,9,100,95.8
EMP0422,50,14,1,Engineering,Lead,Good,Very Fast (100+ Mbps),Very Low,Daily,43,12,39,6,7,100,58.3
EMP0423,32,6,2,Operations,Senior,Average,Very Fast (100+ Mbps),High,Few times per week,40,3,60,3,9,100,97.8
EMP0424,43,2,4,Sales,Junior,Excellent,Moderate (25-50 Mbps),Moderate,Weekly,42,4,33,5,2,86.8,80.9
EMP0425,40,7,2,Marketing,Senior,Good,Very Fast (100+ Mbps),High,Weekly,36,8,5,7,10,100,98
EMP0426,47,9,4,Finance,Lead,Average,Fast (50-100 Mbps),Moderate,Few times per week,33,4,13,1,7,73.8,58.8
EMP0427,26,0,2,Sales,Junior,Good,Slow (<25 Mbps),High,Few times per week,40,6,0,6,4,100,66.3
EMP0428,41,12,1,Data Science,Senior,Average,Fast (50-100 Mbps),High,Weekly,36,8,30,7,6,100,98
EMP0429,44,2,3,Operations,Junior,Average,Very Fast (100+ Mbps),Moderate,Few times per week,38,7,0,8,8,100,82.5
EMP0430,22,1,3,Customer Success,Junior,Average,Very Fast (100+ Mbps),Moderate,Weekly,39,11,26,7,4,97.6,81.9
EMP0431,24,0,0,Finance,Junior,Average,Very Fast (100+ Mbps),Very High,Monthly,41,7,51,5,7,100,84.2
EMP0432,22,0,1,Customer Success,Mid-Level,Average,Fast (50-100 Mbps),Moderate,Bi-weekly,41,8,31,7,7,100,83.2
EMP0433,32,3,1,Engineering,Senior,Average,Fast (50-100 Mbps),High,Few times per week,25,7,9,6,6,100,82.4
EMP0434,41,2,1,Engineering,Junior,Average,Very Fast (100+ Mbps),Very High,Few times per week,44,9,33,6,7,100,69.5
EMP0435,48,12,2,Marketing,Senior,Good,Very Fast (100+ Mbps),High,Weekly,42,11,39,3,8,100,98
EMP0436,35,7,5,Customer Success,Lead,Excellent,Very Fast (100+ Mbps),Low,Daily,47,11,0,6,10,100,98
